X(mm)	Z(mm)
5.869290000000000314e-04	2.439604119390163250e-01
9.782160000000000681e-04	2.418719786262204796e-01
1.369502000000000089e-03	2.395786850967594195e-01
1.760789000000000017e-03	2.370786208113995486e-01
2.152076000000000162e-03	2.343702520889932861e-01
2.543362999999999874e-03	2.314524265842468342e-01
2.934650000000000019e-03	2.283243766411500730e-01
3.325937000000000164e-03	2.249857215226929719e-01
3.717223999999999876e-03	2.214364685184428694e-01
4.108510000000000113e-03	2.176770129323583047e-01
4.499796999999999825e-03	2.137081369541165288e-01
4.891084000000000404e-03	2.095310074184376647e-01
5.282371000000000115e-03	2.051471724585391121e-01
5.673657999999999826e-03	2.005585570620369018e-01
6.064945000000000405e-03	1.957674575403583472e-01
6.456232000000000117e-03	1.907765349260200638e-01
6.847518999999999828e-03	1.855888073159038809e-01
7.238805000000000066e-03	1.802076411828358316e-01
7.630091999999999777e-03	1.746367416822337260e-01
8.021379000000000356e-03	1.688801419852359598e-01
8.412665999999999200e-03	1.629421916744920595e-01
8.803952999999999779e-03	1.568275442436406208e-01
9.195240000000000358e-03	1.505411437463975155e-01
9.586526999999999202e-03	1.440882106461127132e-01
9.977813000000000307e-03	1.374742269216557844e-01
1.036909999999999915e-02	1.307049204906200468e-01
1.076038699999999973e-02	1.237862490161392298e-01
1.115167400000000031e-02	1.167243831690444184e-01
1.154296099999999915e-02	1.095256894224873462e-01
1.193424799999999973e-02	1.021967124612776917e-01
1.232553500000000031e-02	9.474415729277514686e-02
1.271682199999999915e-02	8.717487115000521758e-02
1.310810800000000026e-02	7.949582528051467312e-02
1.349939500000000084e-02	7.171409671612931358e-02
1.389068199999999968e-02	6.383685011899810358e-02
1.428196900000000026e-02	5.587131979788968750e-02
1.467325600000000084e-02	4.782479198547315291e-02
1.506454299999999968e-02	3.970458746216997542e-02
1.545583000000000026e-02	3.151804460512828976e-02
1.584711600000000137e-02	2.327250293210323881e-02
1.623840299999999848e-02	1.497528719982898528e-02
1.662968999999999906e-02	6.633692105273067234e-03
1.702097699999999963e-02	-1.745032373504017088e-03
1.741226400000000021e-02	-1.015369497176515923e-02
1.780355100000000079e-02	-1.858517645375008104e-02
1.819483800000000137e-02	-2.703244224574668370e-02
1.858612499999999848e-02	-3.548855439189582683e-02
1.897741099999999959e-02	-4.394668284592619101e-02
1.936869800000000016e-02	-5.240011611847137513e-02
1.975998500000000074e-02	-6.084227130446148019e-02
2.015127200000000132e-02	-6.926670351814864790e-02
2.054255899999999843e-02	-7.766711476457532903e-02
2.093384599999999901e-02	-8.603736227583867746e-02
2.132513299999999959e-02	-9.437146633859049005e-02
2.171641900000000069e-02	-1.026636176361596930e-01
2.210770600000000127e-02	-1.109081841248424211e-01
2.249899299999999838e-02	-1.190997174596368086e-01
2.289027999999999896e-02	-1.272329589803748995e-01
2.328156699999999954e-02	-1.353028452651838243e-01
2.367285400000000012e-02	-1.433045132548234069e-01
2.406414100000000070e-02	-1.512333049489689996e-01
2.445542800000000128e-02	-1.590847716741149998e-01
2.484671399999999891e-02	-1.668546779225144050e-01
2.523800099999999949e-02	-1.745390047623402718e-01
2.562928800000000007e-02	-1.821339528208442970e-01
2.602057500000000065e-02	-1.896359448444511486e-01
2.641186200000000123e-02	-1.970416278422645884e-01
2.680314899999999834e-02	-2.043478748222503361e-01
2.719443599999999892e-02	-2.115517861323373272e-01
2.758572200000000002e-02	-2.186506904217901115e-01
2.797700900000000060e-02	-2.256421452413657214e-01
2.836829600000000118e-02	-2.325239373038324453e-01
2.875958299999999829e-02	-2.392940824291928115e-01
2.915086999999999887e-02	-2.459508252011678997e-01
2.954215699999999944e-02	-2.524926383629185200e-01
2.993344400000000002e-02	-2.589182219804095353e-01
3.032473100000000060e-02	-2.652265024012016581e-01
3.071601700000000171e-02	-2.714166310348447020e-01
3.110730399999999882e-02	-2.774879829786158214e-01
3.149859099999999940e-02	-2.834401555093172820e-01
3.188987800000000344e-02	-2.892729664584768323e-01
3.228116500000000055e-02	-2.949864524848381242e-01
3.267245199999999766e-02	-3.005808672547488070e-01
3.306373900000000171e-02	-3.060566795381635119e-01
3.345502499999999935e-02	-3.114145712256313758e-01
3.384631200000000339e-02	-3.166554352699290642e-01
3.423759900000000050e-02	-3.217803735549768507e-01
3.462888599999999761e-02	-3.267906946943495705e-01
3.502017300000000166e-02	-3.316879117620405992e-01
3.541145999999999877e-02	-3.364737399590782552e-01
3.580274700000000282e-02	-3.411500942210131115e-01
3.619403399999999993e-02	-3.457190867730478012e-01
3.658531999999999756e-02	-3.501830246415205128e-01
3.697660700000000161e-02	-3.545444071324453383e-01
3.736789399999999872e-02	-3.588059232897718998e-01
3.775918100000000277e-02	-3.629704493479187222e-01
3.815046799999999988e-02	-3.670410461949755732e-01
3.854175499999999699e-02	-3.710209568647763190e-01
3.893304200000000104e-02	-3.749136040777713008e-01
3.932432799999999867e-02	-3.787225878521232048e-01
3.971561500000000272e-02	-3.824516832074746908e-01
4.010690199999999983e-02	-3.861048379841122147e-01
4.049818899999999694e-02	-3.896861707995168955e-01
4.088947600000000099e-02	-3.931999691623486171e-01
4.128076299999999810e-02	-3.966506877606185699e-01
4.167205000000000215e-02	-4.000429469361056478e-01
4.206333699999999926e-02	-4.033815313509738765e-01
4.245462299999999689e-02	-4.066713888451222170e-01
4.284591000000000094e-02	-4.099176294742045146e-01
4.323719699999999805e-02	-4.131255247087309290e-01
4.362848400000000210e-02	-4.163005067645119128e-01
4.401977099999999921e-02	-4.194481680242673205e-01
4.441105800000000325e-02	-4.225742604998153906e-01
4.480234500000000036e-02	-4.256846952741640266e-01
4.519363099999999800e-02	-4.287855418533098595e-01
4.558491800000000205e-02	-4.318830273488621918e-01
4.597620499999999916e-02	-4.349835354049808034e-01
4.636749200000000320e-02	-4.380936047767318153e-01
