x(m)	z (mm)
0.039556668	-2.211363554
0.072696767	-0.636832524
0.118276498	1.065966791
0.166460836	-0.662501144
0.215415366	-5.57064456
0.264822997	-10.16683113
0.314349885	-10.85987066
0.364075336	-9.24767031
0.413850275	-3.234164019
0.463618636	2.07916869
0.513506611	5.195657875
0.563337634	1.110644143
0.6132729	-8.071618719
0.663139472	-12.65569433
0.713155979	-11.13581335
0.763044337	-7.719314059
0.813025818	-2.900357366
0.862928879	1.816529927
0.912837433	4.333562179
0.962836154	-0.047026181
1.012805055	-6.628401451
1.062811253	-10.7087925
1.112734762	-8.891365625
1.162746701	-7.871605171
1.212675076	-0.45404987
1.262691427	1.165827014
1.312623575	-0.716518126
1.362608106	-5.097480949
1.412629268	-3.277477093
1.462565561	-2.659712866
1.51258923	0.960357144
1.562527699	6.078178794
1.612553419	3.698302923
1.662544078	-3.082498195
1.712571438	-4.662330789
1.762513126	-2.244424176
1.812541917	-0.324219024
1.862484859	4.69372068
1.912428341	3.511674634
1.962508968	0.433247689
2.012453393	-4.748773472
2.062484836	-4.728498327
2.11243011	-3.310497093
2.162462386	0.309800024
2.212408394	5.727820625
2.262441394	5.748136859
2.312437891	1.167489827
2.362384789	-2.714466087
2.412418672	-4.494126542
2.462366098	-3.776068522
2.51240051	3.944284959
2.562348401	5.462355279
2.61243297	6.68403234
2.662381252	2.002112963
2.712416526	-0.877510795
2.762365179	-2.059420396
2.812313996	-2.14132566
2.862349813	2.67906491
2.912348504	2.498475777
2.962384622	-0.781125708
3.012334019	-2.363015685
3.062370428	-0.842609477
3.112320082	2.675507326
3.162356756	6.395920513
