# Frequency (Hz)	Amplitude
0.000000000000000000e+00	2.136959845120778567e+01
3.999946875705556737e-02	1.387783967706476851e+01
7.999893751411113474e-02	5.041226297851606120e+01
1.199984062711667021e-01	1.571274648356162729e+01
1.599978750282222695e-01	7.834388561936061812e+00
1.999973437852778368e-01	4.479061754986741306e+00
2.399968125423334042e-01	2.231362027663250203e+00
2.799962812993889716e-01	1.872514940527892247e+00
3.199957500564445390e-01	1.773027367612777683e+00
3.599952188135001063e-01	1.347884492954920077e+00
3.999946875705556737e-01	9.364200740678645385e-01
4.399941563276112411e-01	9.407282631239772819e-01
4.799936250846668084e-01	5.893495535702309995e-01
5.199930938417223203e-01	7.073148187183523339e-01
5.599925625987779432e-01	6.085914128783433963e-01
5.999920313558335661e-01	5.813218432756935838e-01
6.399915001128890779e-01	6.279799220573601959e-01
6.799909688699445898e-01	5.330643644598563879e-01
7.199904376270002127e-01	4.868039477933904791e-01
7.599899063840558355e-01	3.726676473665768152e-01
7.999893751411113474e-01	4.281234534754291832e-01
8.399888438981668592e-01	3.058920026272770043e-01
8.799883126552224821e-01	3.203683395235504272e-01
9.199877814122781050e-01	2.912288135465804229e-01
9.599872501693336169e-01	3.497149565659802839e-01
9.999867189263891287e-01	2.579241947247342681e-01
1.039986187683444641e+00	2.892729992496603231e-01
1.079985656440500374e+00	4.196774524374075610e-01
1.119985125197555886e+00	2.442937040567984552e-01
1.159984593954611398e+00	2.566590086160128736e-01
1.199984062711667132e+00	3.254170794216034168e-01
1.239983531468722644e+00	3.175781044646734386e-01
1.279983000225778156e+00	2.869626941962170052e-01
1.319982468982833668e+00	2.551526578671934886e-01
1.359981937739889180e+00	2.137578803460623844e-01
1.399981406496944913e+00	2.057268517093341353e-01
1.439980875254000425e+00	2.259104654302613313e-01
1.479980344011055937e+00	2.328445769229482154e-01
1.519979812768111671e+00	1.999052783522289878e-01
1.559979281525167183e+00	1.998933709171672735e-01
1.599978750282222695e+00	1.904893455169306971e-01
1.639978219039278207e+00	1.939662359377462286e-01
1.679977687796333718e+00	1.904647210076096664e-01
1.719977156553389452e+00	1.778619229991268424e-01
1.759976625310444964e+00	1.815414458248914842e-01
1.799976094067500476e+00	1.602984647436623278e-01
1.839975562824556210e+00	1.785324952430442647e-01
1.879975031581611722e+00	1.675782753961529703e-01
1.919974500338667234e+00	1.705167333201544899e-01
1.959973969095722746e+00	1.484416646477972890e-01
1.999973437852778257e+00	1.695288593190186488e-01
2.039972906609833991e+00	1.625899338574602060e-01
2.079972375366889281e+00	1.530873094241432808e-01
2.119971844123945015e+00	1.450421775315146322e-01
2.159971312881000749e+00	1.396752657514944151e-01
2.199970781638056039e+00	1.438783457803214927e-01
2.239970250395111773e+00	1.411428343187551837e-01
2.279969719152167507e+00	1.344538135426204262e-01
2.319969187909222796e+00	1.325192105160963030e-01
2.359968656666278530e+00	1.326705753056328096e-01
2.399968125423334264e+00	1.252865922337016436e-01
2.439967594180389554e+00	1.278640093998215377e-01
2.479967062937445288e+00	1.302612429880267153e-01
2.519966531694500578e+00	1.228688347522369079e-01
2.559966000451556312e+00	1.214023599430369693e-01
2.599965469208612046e+00	1.185019755328997754e-01
2.639964937965667335e+00	1.155653752326605277e-01
2.679964406722723069e+00	1.177992705463088152e-01
2.719963875479778359e+00	1.168082494431448431e-01
2.759963344236834093e+00	1.129467687096202960e-01
2.799962812993889827e+00	1.122269067674088738e-01
2.839962281750945117e+00	1.073249460593134058e-01
2.879961750508000851e+00	1.073944297372844553e-01
2.919961219265056585e+00	1.077725825012097322e-01
2.959960688022111874e+00	1.046369614272634752e-01
2.999960156779167608e+00	1.059021789313918244e-01
3.039959625536223342e+00	1.057706775948672739e-01
3.079959094293278632e+00	9.886726343780508075e-02
3.119958563050334366e+00	9.907075390643517443e-02
3.159958031807389656e+00	9.879032013451816141e-02
3.199957500564445390e+00	9.844663061648452340e-02
3.239956969321501123e+00	9.279256413333626663e-02
3.279956438078556413e+00	9.132395282432771710e-02
3.319955906835612147e+00	9.378745208953442880e-02
3.359955375592667437e+00	9.447012086043647672e-02
3.399954844349723171e+00	9.151229725366487322e-02
3.439954313106778905e+00	9.189774957965449187e-02
3.479953781863834195e+00	8.864984507295961547e-02
3.519953250620889929e+00	8.837108081132435955e-02
3.559952719377945662e+00	8.871934269592489375e-02
3.599952188135000952e+00	8.562535761008280288e-02
3.639951656892056686e+00	8.414558383682074760e-02
3.679951125649112420e+00	8.550812387428935457e-02
3.719950594406167710e+00	8.348671838655799537e-02
3.759950063163223444e+00	8.302160210472614432e-02
3.799949531920278734e+00	8.023432205393715710e-02
3.839949000677334467e+00	8.063485750135147845e-02
3.879948469434390201e+00	8.066183992420750126e-02
3.919947938191445491e+00	8.127789646318024641e-02
3.959947406948501225e+00	8.183794240916385243e-02
3.999946875705556515e+00	7.137649122342802632e-02
4.039946344462612693e+00	7.603522249360927798e-02
4.079945813219667983e+00	7.834581524714021028e-02
4.119945281976723273e+00	7.841238429846167368e-02
4.159944750733778562e+00	7.561356823265834304e-02
4.199944219490834740e+00	7.634831704761124715e-02
4.239943688247890030e+00	7.509575188859961281e-02
4.279943157004945320e+00	7.338376335332945366e-02
4.319942625762001498e+00	7.008069119538828939e-02
4.359942094519056788e+00	6.822741433353239626e-02
4.399941563276112078e+00	7.287625075836641486e-02
4.439941032033168256e+00	7.201069724915530601e-02
4.479940500790223545e+00	6.835772580575802393e-02
4.519939969547278835e+00	6.572950195892193759e-02
4.559939438304335013e+00	6.701104303842299326e-02
4.599938907061390303e+00	6.692480505984356454e-02
4.639938375818445593e+00	6.280739452715090876e-02
4.679937844575501771e+00	6.414727252641180821e-02
4.719937313332557061e+00	6.640301853952119970e-02
4.759936782089612350e+00	6.891497173625629746e-02
4.799936250846668528e+00	6.758187080109299971e-02
4.839935719603723818e+00	6.968450875940777889e-02
4.879935188360779108e+00	5.762366291179803895e-02
4.919934657117834398e+00	6.833822604893084740e-02
4.959934125874890576e+00	6.866598791180450467e-02
4.999933594631945866e+00	6.601264513207243112e-02
5.039933063389001155e+00	6.280142859345695661e-02
5.079932532146057333e+00	5.950354557397586480e-02
5.119932000903112623e+00	5.363257197406917642e-02
5.159931469660167913e+00	6.262551073095572185e-02
5.199930938417224091e+00	5.982864564352052134e-02
5.239930407174279381e+00	6.025213153609360744e-02
5.279929875931334671e+00	5.793417301502801903e-02
5.319929344688390849e+00	5.866441702789462753e-02
5.359928813445446139e+00	5.757574451282363587e-02
5.399928282202501428e+00	5.653748256747613554e-02
5.439927750959556718e+00	5.649152946491696470e-02
5.479927219716612896e+00	5.849002557686940745e-02
5.519926688473668186e+00	5.792201149972618646e-02
5.559926157230723476e+00	5.593667596998642966e-02
5.599925625987779654e+00	5.498317172293678418e-02
5.639925094744834944e+00	5.435929918537972527e-02
5.679924563501890233e+00	5.530387372181741479e-02
5.719924032258946411e+00	5.520201364067937877e-02
5.759923501016001701e+00	5.381316131689079657e-02
5.799922969773056991e+00	5.304208495438311743e-02
5.839922438530113169e+00	5.346416138550454805e-02
5.879921907287168459e+00	5.229477709365866478e-02
5.919921376044223749e+00	5.379097073000908835e-02
5.959920844801279927e+00	5.220110339683561168e-02
5.999920313558335216e+00	5.123540318641153085e-02
6.039919782315390506e+00	4.995122656974659153e-02
6.079919251072446684e+00	5.084225550437492663e-02
6.119918719829501974e+00	5.116431066234025660e-02
6.159918188586557264e+00	5.029165860152381984e-02
6.199917657343612554e+00	4.911139428075900898e-02
6.239917126100668732e+00	4.800470328265595693e-02
6.279916594857724021e+00	4.971966572521158839e-02
6.319916063614779311e+00	4.882755845188092164e-02
6.359915532371835489e+00	4.844858740424693583e-02
6.399915001128890779e+00	4.904283508972303446e-02
6.439914469885946069e+00	4.847321280848163744e-02
6.479913938643002247e+00	4.785223601250560704e-02
6.519913407400057537e+00	4.789222027268742049e-02
6.559912876157112827e+00	4.761020887873568253e-02
6.599912344914169005e+00	4.737282637226950671e-02
6.639911813671224294e+00	4.642658985221474049e-02
6.679911282428279584e+00	4.618653646831189646e-02
6.719910751185334874e+00	4.668910065759526024e-02
6.759910219942391052e+00	4.661149224833980448e-02
6.799909688699446342e+00	4.571653154873608904e-02
6.839909157456501632e+00	4.496959334361937816e-02
6.879908626213557810e+00	4.498852341295082186e-02
6.919908094970613099e+00	4.509931929851559995e-02
6.959907563727668389e+00	4.534000275161375465e-02
6.999907032484724567e+00	4.431281474787834851e-02
7.039906501241779857e+00	4.365373169979479273e-02
7.079905969998835147e+00	4.402437396278316428e-02
7.119905438755891325e+00	4.348482365023974977e-02
7.159904907512946615e+00	4.425710087586051666e-02
7.199904376270001904e+00	4.336482332139805773e-02
7.239903845027058082e+00	4.275969566261045296e-02
7.279903313784113372e+00	4.230868778897128868e-02
7.319902782541168662e+00	4.257352332831570302e-02
7.359902251298224840e+00	4.291339269764663650e-02
7.399901720055280130e+00	4.148959806586930560e-02
7.439901188812335420e+00	4.177976181784340270e-02
7.479900657569390710e+00	4.118856312976141437e-02
7.519900126326446888e+00	4.160177618816760653e-02
7.559899595083502177e+00	4.076780038340394735e-02
7.599899063840557467e+00	4.029746965885994126e-02
7.639898532597613645e+00	4.066260310842544773e-02
7.679898001354668935e+00	4.020928423783589473e-02
7.719897470111724225e+00	3.998868375526350161e-02
7.759896938868780403e+00	4.014762706027654587e-02
7.799896407625835693e+00	3.979979718048154425e-02
7.839895876382890982e+00	3.960827951495685118e-02
7.879895345139947160e+00	3.917341995546234218e-02
7.919894813897002450e+00	3.959961513854963477e-02
7.959894282654057740e+00	3.875112741435686459e-02
7.999893751411113030e+00	3.920456160259885858e-02
8.039893220168169208e+00	3.840831157357930264e-02
8.079892688925225386e+00	3.789555279067684940e-02
8.119892157682279787e+00	3.838730814449432815e-02
8.159891626439335965e+00	3.802449190120561068e-02
8.199891095196392143e+00	3.820625067414445963e-02
8.239890563953446545e+00	3.749238677885845250e-02
8.279890032710502723e+00	3.771719534788932349e-02
8.319889501467557125e+00	3.788417798161420463e-02
8.359888970224613303e+00	3.689387695954594870e-02
8.399888438981669481e+00	3.725449657399280967e-02
8.439887907738723882e+00	3.708105385971606494e-02
8.479887376495780060e+00	3.639785039545245099e-02
8.519886845252836238e+00	3.651407021742580222e-02
8.559886314009890640e+00	3.619080818652456455e-02
8.599885782766946818e+00	3.625373758005346475e-02
8.639885251524002996e+00	3.634109033120289795e-02
8.679884720281057398e+00	3.622880848675031490e-02
8.719884189038113576e+00	3.563817856845204191e-02
8.759883657795169754e+00	3.564346490998435840e-02
8.799883126552224155e+00	3.541383103520504005e-02
8.839882595309280333e+00	3.510517613920085406e-02
8.879882064066336511e+00	3.471038832596959334e-02
8.919881532823390913e+00	3.525510911825396193e-02
8.959881001580447091e+00	3.451716188921014755e-02
8.999880470337503269e+00	3.475096927107693134e-02
9.039879939094557670e+00	3.461715018612242234e-02
9.079879407851613848e+00	3.408112821793640723e-02
9.119878876608670026e+00	3.393228562792949959e-02
9.159878345365724428e+00	3.379902589260232182e-02
9.199877814122780606e+00	3.378491339357725387e-02
9.239877282879836784e+00	3.358944889041316773e-02
9.279876751636891186e+00	3.377998070718320200e-02
9.319876220393947364e+00	3.321436528736533556e-02
9.359875689151003542e+00	3.294778223956394692e-02
9.399875157908057943e+00	3.294309501466791135e-02
9.439874626665114121e+00	3.301407136262270170e-02
9.479874095422170299e+00	3.277588440828890087e-02
9.519873564179224701e+00	3.286999340209392773e-02
9.559873032936280879e+00	3.276176272431937514e-02
