# Frequency (Hz)	Amplitude
0.000000000000000000e+00	4.876763175547798035e+00
2.499966797315973654e-02	9.829942280437530266e-01
4.999933594631947309e-02	7.076701374404064104e-01
7.499900391947920963e-02	1.218343182569373129e+00
9.999867189263894618e-02	5.792012244792924536e-01
1.249983398657986827e-01	2.104703701548642503e+00
1.499980078389584193e-01	1.169576418211235147e+00
1.749976758121181697e-01	1.798499881307289883e+01
1.999973437852778924e-01	1.650850485341937457e+01
2.249970117584376150e-01	1.379356478686884913e+01
2.499966797315973654e-01	2.958391440558509089e+01
2.749963477047571159e-01	7.734888065523723810e+01
2.999960156779168385e-01	9.692253714832915534e+00
3.249956836510765612e-01	4.261108500028323220e+01
3.499953516242363394e-01	5.388809819430157688e+01
3.749950195973960620e-01	1.335926148067328079e+01
3.999946875705557847e-01	1.070872156484410453e+01
4.249943555437155074e-01	3.716598012048004307e+01
4.499940235168752301e-01	2.648610393994209034e+01
4.749936914900350082e-01	1.150728705468097957e+01
4.999933594631947309e-01	4.200339573427045892e+00
5.249930274363544536e-01	2.065408124412706314e+01
5.499926954095142317e-01	2.221493745863859814e+01
5.749923633826738989e-01	1.394432278721265206e+01
5.999920313558336771e-01	2.141796962956541250e+01
6.249916993289934553e-01	2.384184286301820066e+01
6.499913673021531224e-01	2.135637163837482078e+01
6.749910352753129006e-01	1.853074043689037609e+01
6.999907032484726788e-01	1.363476296937491128e+01
7.249903712216323459e-01	1.373720978471991749e+01
7.499900391947921241e-01	1.252661565191452375e+01
7.749897071679517913e-01	1.990478435321514539e+01
7.999893751411115694e-01	6.243754615593207546e+00
8.249890431142713476e-01	1.844123025283134609e+01
8.499887110874310148e-01	1.229661187282697732e+01
8.749883790605907929e-01	6.462863142759249335e+00
8.999880470337504601e-01	1.787650861420826587e+01
9.249877150069102383e-01	2.398782620452924519e+01
9.499873829800700165e-01	2.479748007434214685e+01
9.749870509532296836e-01	2.032379172571275561e+01
9.999867189263894618e-01	9.509214831783939559e+00
1.024986386899549240e+00	2.013935927011803528e+01
1.049986054872708907e+00	2.099994643424824403e+01
1.074985722845868574e+00	1.933452159396471259e+01
1.099985390819028463e+00	1.356028794972398011e+01
1.124985058792188131e+00	1.530597086045807487e+01
1.149984726765347798e+00	1.926844687651748700e+01
1.174984394738507687e+00	1.489534400432569683e+01
1.199984062711667354e+00	1.155065866259872465e+01
1.224983730684827021e+00	4.430029803018401324e+00
1.249983398657986911e+00	2.396027142607710658e+00
1.274983066631146578e+00	1.778829547506566300e+00
1.299982734604306245e+00	4.124447082400885201e+00
1.324982402577466134e+00	1.530884234696097046e+01
1.349982070550625801e+00	1.076062544054899739e+01
1.374981738523785468e+00	2.900464454890876009e+00
1.399981406496945358e+00	2.373762931989169189e+01
1.424981074470105025e+00	1.813392266111293338e+01
1.449980742443264692e+00	1.756535219980046492e+01
1.474980410416424359e+00	2.624852729628334913e+01
1.499980078389584248e+00	1.577020482305115401e+01
1.524979746362743915e+00	2.099012682705468436e+01
1.549979414335903583e+00	2.099351883010377051e+01
1.574979082309063472e+00	1.043421294236224206e+01
1.599978750282223139e+00	1.624922154128676866e+01
1.624978418255382806e+00	1.056697678533710594e+01
1.649978086228542695e+00	1.147237268615263517e+01
1.674977754201702362e+00	3.315341821144873524e+00
1.699977422174862030e+00	1.896875159748102613e+00
1.724977090148021919e+00	1.234173088696932119e+01
1.749976758121181586e+00	1.414330828099359749e+01
1.774976426094341253e+00	1.804697691895961498e+01
1.799976094067500920e+00	3.584868196866350942e+00
1.824975762040660809e+00	1.571237928250017291e+01
1.849975430013820477e+00	8.237894305549385621e+00
1.874975097986980144e+00	1.052616077881308732e+00
1.899974765960140033e+00	1.569341051108570717e+01
1.924974433933299700e+00	1.355183816990164480e+01
1.949974101906459367e+00	1.354205478305554378e+00
1.974973769879619256e+00	2.433693282882686759e+01
1.999973437852778924e+00	2.134319805481061039e+01
2.024973105825938813e+00	8.810062393584489726e+00
2.049972773799098480e+00	5.407025766810276579e+00
2.074972441772258147e+00	3.422568295174068709e+01
2.099972109745417814e+00	2.190891211680359163e+01
2.124971777718577481e+00	1.711937910706091515e+01
2.149971445691737149e+00	1.079428923987372535e+01
2.174971113664897260e+00	1.102103815809573462e+01
2.199970781638056927e+00	2.064412819710150160e+01
2.224970449611216594e+00	2.170073457123537253e+01
2.249970117584376261e+00	1.504295011388295222e+01
2.274969785557535928e+00	1.850520657027452032e+01
2.299969453530695596e+00	4.215063108873537523e+00
2.324969121503855707e+00	5.024961071260665157e+00
2.349968789477015374e+00	9.499940180079727625e+00
2.374968457450175041e+00	1.198402130100562957e+01
2.399968125423334708e+00	6.833381415729742336e+00
2.424967793396494375e+00	7.685506268370560612e+00
2.449967461369654043e+00	2.383411092541680176e+01
2.474967129342813710e+00	1.370331898876712273e+01
2.499966797315973821e+00	8.343681305680146210e+00
2.524966465289133488e+00	4.355154741421007891e+00
2.549966133262293155e+00	1.334100329076111890e+01
2.574965801235452822e+00	1.096265551689222661e+01
2.599965469208612490e+00	1.819377545473307478e+01
2.624965137181772157e+00	1.000625007650442910e+01
2.649964805154932268e+00	8.009005376927250452e+00
2.674964473128091935e+00	1.618438383419116988e+01
2.699964141101251602e+00	8.809160935227437150e+00
2.724963809074411270e+00	1.738584830116372615e+01
2.749963477047570937e+00	5.751324454489960658e+00
2.774963145020730604e+00	1.048913681974284806e+00
2.799962812993890715e+00	3.642281873882095233e+00
2.824962480967050382e+00	1.414225155184604432e+01
2.849962148940210049e+00	9.103517036624134917e+00
2.874961816913369717e+00	1.179176861703821899e+01
2.899961484886529384e+00	1.184976346076845743e+01
2.924961152859689051e+00	1.007473421370137956e+01
2.949960820832848718e+00	1.255501168083346819e+01
2.974960488806008829e+00	1.208647127442305980e+01
2.999960156779168496e+00	3.559577764225551721e+00
3.024959824752328164e+00	9.300840558898192612e+00
3.049959492725487831e+00	7.505057695275691998e+00
3.074959160698647498e+00	1.279763965345917320e+01
3.099958828671807165e+00	1.894869094361060036e+01
3.124958496644967276e+00	4.767796194387847741e+00
