# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	5.266992163550781925e+00
3.999946875705556737e-02	2.001466331801645904e+00
7.999893751411113474e-02	1.787246647982859260e+00
1.199984062711667021e-01	4.552411360226510384e-01
1.599978750282222695e-01	8.612315387467552041e-02
1.999973437852778368e-01	8.247378207554030560e-02
2.399968125423334042e-01	1.606472956599925839e-01
2.799962812993889716e-01	5.921695546391975845e-02
3.199957500564445390e-01	1.221073721178205368e-01
3.599952188135001063e-01	7.438016983435211116e-02
3.999946875705556737e-01	3.642084601822590667e-02
4.399941563276112411e-01	6.603157184637742372e-02
4.799936250846668084e-01	1.770358486670117401e-02
5.199930938417223203e-01	4.421415282111183787e-02
5.599925625987779432e-01	5.174505366065972750e-02
5.999920313558335661e-01	6.535819396523090408e-02
6.399915001128890779e-01	1.226526903968122306e-01
6.799909688699445898e-01	2.112133612028570528e-01
7.199904376270002127e-01	3.996089600046912743e-02
7.599899063840558355e-01	1.999381022404312508e-02
7.999893751411113474e-01	2.620416350087801868e-02
8.399888438981668592e-01	1.442564687533935686e-02
8.799883126552224821e-01	2.265476751010366691e-02
9.199877814122781050e-01	4.500045220913717614e-02
9.599872501693336169e-01	3.955566691472438973e-02
9.999867189263891287e-01	1.389675255423501211e-02
1.039986187683444641e+00	2.671280617711997707e-02
1.079985656440500374e+00	1.804059825853935109e-02
1.119985125197555886e+00	1.683942200451928745e-02
1.159984593954611398e+00	1.963246269776265998e-02
1.199984062711667132e+00	2.297729788952975610e-02
1.239983531468722644e+00	5.204458624228234381e-02
1.279983000225778156e+00	9.370197245144229470e-02
1.319982468982833668e+00	4.919338383201529719e-02
1.359981937739889180e+00	3.548929305795194000e-02
1.399981406496944913e+00	5.284663567979550752e-02
1.439980875254000425e+00	3.475064897035830963e-02
1.479980344011055937e+00	3.357664696616406708e-02
1.519979812768111671e+00	5.267753328913690053e-02
1.559979281525167183e+00	7.256671009711995746e-02
1.599978750282222695e+00	3.656610832320998650e-02
1.639978219039278207e+00	4.561993453277946031e-02
1.679977687796333718e+00	2.110956279244408790e-02
1.719977156553389452e+00	6.490610058057559584e-02
1.759976625310444964e+00	2.560859204042087792e-02
1.799976094067500476e+00	1.433466410479633177e-02
1.839975562824556210e+00	8.642973936105308175e-02
1.879975031581611722e+00	4.088198421202850208e-02
1.919974500338667234e+00	9.364654684038543897e-02
1.959973969095722746e+00	4.382983979223489812e-02
1.999973437852778257e+00	3.732630159924568702e-02
2.039972906609833991e+00	6.988425322657741690e-02
2.079972375366889281e+00	3.230035289217341593e-02
2.119971844123945015e+00	6.550231049670270089e-02
2.159971312881000749e+00	3.133542834899335355e-02
2.199970781638056039e+00	3.170667866731745332e-02
2.239970250395111773e+00	3.618028674353995777e-02
2.279969719152167507e+00	3.437259307934245611e-02
2.319969187909222796e+00	2.857945085939967919e-02
2.359968656666278530e+00	5.846193621358075632e-02
2.399968125423334264e+00	4.150485729793400996e-02
