# X 	Z
0.000000000000000000e+00	-2.007596866485441556e+00
1.082031250000000094e-03	-1.979808193325887533e+00
2.164062500000000187e-03	-1.984484447708419363e+00
3.246093749999999847e-03	-1.950493990105672149e+00
4.328125000000000375e-03	-2.000916403579295455e+00
5.410156250000000035e-03	-1.957457246990312427e+00
6.492187499999999695e-03	-1.947701845324418368e+00
7.574218750000000222e-03	-1.996344618833016726e+00
8.656250000000000749e-03	-1.949009334498994273e+00
9.738281249999999542e-03	-1.955023054760033130e+00
1.082031250000000007e-02	-1.952727900368697478e+00
1.190234375000000060e-02	-1.863305227815484244e+00
1.298437499999999939e-02	-1.893857573892829826e+00
1.406640624999999992e-02	-1.889076699960590355e+00
1.514843750000000044e-02	-1.897186025306991874e+00
1.623046875000000097e-02	-1.848764613934262169e+00
1.731250000000000150e-02	-1.783338903719389856e+00
1.839453124999999856e-02	-1.804963860104228823e+00
1.947656249999999908e-02	-1.762756764525656106e+00
2.055859374999999961e-02	-1.821964313851370587e+00
2.164062500000000014e-02	-1.734715102456855451e+00
2.272265625000000067e-02	-1.504114849393594522e+00
2.380468750000000119e-02	-1.571236721452399898e+00
2.488671875000000172e-02	-1.547578397592525912e+00
2.596874999999999878e-02	-1.534167649757232521e+00
2.705078124999999931e-02	-1.541021091579637847e+00
2.813281249999999983e-02	-1.425876004514326389e+00
2.921484375000000036e-02	-1.413618280331694788e+00
3.029687500000000089e-02	-1.426439805422379692e+00
3.137890624999999795e-02	-1.438482364387114520e+00
3.246093750000000194e-02	-1.425129162972215591e+00
3.354296874999999900e-02	-1.429321488750060709e+00
3.462500000000000300e-02	-1.457736988074143314e+00
3.570703125000000006e-02	-1.436061565912454263e+00
3.678906249999999711e-02	-1.432087075126003750e+00
3.787109375000000111e-02	-1.464914706227411045e+00
3.895312499999999817e-02	-1.119094480980311168e+00
4.003515625000000216e-02	-1.071456343827244195e+00
4.111718749999999922e-02	-1.130505777413709279e+00
4.219921875000000322e-02	-1.077878458386794192e+00
4.328125000000000028e-02	-1.104520143072689420e+00
4.436328124999999734e-02	-9.757616653753120595e-01
4.544531250000000133e-02	-9.101312358930127022e-01
4.652734374999999839e-02	-9.257233968338738350e-01
4.760937500000000239e-02	-9.218118340839673852e-01
4.869140624999999944e-02	-9.461536951597482314e-01
4.977343750000000344e-02	-7.746462752644645011e-01
5.085546875000000050e-02	-7.238048479883409936e-01
5.193749999999999756e-02	-7.554934539135089722e-01
5.301953125000000155e-02	-7.108350932523199717e-01
