# X 	Z
0.000000000000000000e+00	-1.457245556269369136e+00
1.082031250000000094e-03	-1.425102456220418867e+00
2.164062500000000187e-03	-1.392290150974388796e+00
3.246093749999999847e-03	-1.358809394567998874e+00
4.328125000000000375e-03	-1.324661260646952332e+00
5.410156250000000035e-03	-1.289847145772089032e+00
6.492187499999999695e-03	-1.254368772564384615e+00
7.574218750000000222e-03	-1.218228192684847500e+00
8.656250000000000749e-03	-1.181427789645438153e+00
9.738281249999999542e-03	-1.143970281447208581e+00
1.082031250000000007e-02	-1.105858723041946101e+00
1.190234375000000060e-02	-1.067096508613698536e+00
1.298437499999999939e-02	-1.027687373676651639e+00
1.406640624999999992e-02	-9.876353969859285042e-01
1.514843750000000044e-02	-9.469450022579926074e-01
1.623046875000000097e-02	-9.056209596974309495e-01
1.731250000000000150e-02	-8.636683873270136758e-01
1.839453124999999856e-02	-8.210927521180370059e-01
1.947656249999999908e-02	-7.778998709180819926e-01
2.055859374999999961e-02	-7.340959111734407516e-01
2.164062500000000014e-02	-6.896873914435852626e-01
2.272265625000000067e-02	-6.446811817051868454e-01
2.380468750000000119e-02	-5.990845034433215366e-01
2.488671875000000172e-02	-5.529049295276298182e-01
2.596874999999999878e-02	-5.061503838713237169e-01
2.705078124999999931e-02	-4.588291408710492569e-01
2.813281249999999983e-02	-4.109498246257224374e-01
2.921484375000000036e-02	-3.625214079325716487e-01
3.029687500000000089e-02	-3.135532110587395671e-01
3.137890624999999795e-02	-2.640549002869168049e-01
3.246093750000000194e-02	-2.140364862336054386e-01
3.354296874999999900e-02	-1.635083219387353515e-01
3.462500000000000300e-02	-1.124811007254931244e-01
3.570703125000000006e-02	-6.096585382936948322e-02
3.678906249999999711e-02	-8.973947795591585147e-03
3.787109375000000111e-02	4.348291835572110769e-02
3.895312499999999817e-02	9.639271619715240880e-02
4.003515625000000216e-02	1.497430911946162346e-01
4.111718749999999922e-02	2.035213662410964020e-01
4.219921875000000322e-02	2.577145454233925048e-01
4.328125000000000028e-02	3.123093180215912867e-01
4.436328124999999734e-02	3.672920627408209349e-01
4.544531250000000133e-02	4.226488521746815663e-01
4.652734374999999839e-02	4.783654574995777065e-01
4.760937500000000239e-02	5.344273533990094860e-01
4.869140624999999944e-02	5.908197232167075041e-01
4.977343750000000344e-02	6.475274643373258865e-01
5.085546875000000050e-02	7.045351937932324837e-01
5.193749999999999756e-02	7.618272540957496952e-01
5.301953125000000155e-02	8.193877192890157701e-01
5.410156249999999861e-02	8.772004012244510873e-01
5.518359375000000261e-02	9.352488560536285078e-01
5.626562499999999967e-02	9.935163909371558244e-01
5.734765624999999672e-02	1.051986070966981712e+00
5.842968750000000072e-02	1.110640726299338299e+00
5.951171874999999778e-02	1.169462959495341181e+00
6.059375000000000178e-02	1.228435153066080199e+00
6.167578124999999883e-02	1.287539477218845985e+00
6.275781249999999589e-02	1.346757897800950232e+00
6.383984374999999989e-02	1.406072184437406669e+00
6.492187500000000389e-02	1.465463918858577852e+00
6.600390624999999400e-02	1.524914503413741684e+00
