# Frequency (Hz)	Amplitude
0.000000000000000000e+00	4.490863873648896387e+00
4.081740683825495902e-02	2.191791145482088865e+00
8.163481367650991805e-02	9.983987415337432836e+00
1.224522205147648701e-01	5.066913604211038979e+00
1.632696273530198361e-01	2.171386818077377434e+00
2.040870341912748021e-01	1.182401166742001797e+00
2.449044410295297403e-01	9.384584627875089957e-01
2.857218478677847062e-01	6.910002670904487054e-01
3.265392547060396722e-01	4.780005923515026067e-01
3.673566615442946381e-01	5.581805151500633944e-01
4.081740683825496041e-01	4.096560221758437370e-01
4.489914752208045701e-01	4.244686544572610631e-01
4.898088820590594805e-01	3.657070481561518482e-01
5.306262888973144465e-01	3.065019722292866011e-01
5.714436957355694124e-01	3.037968646721650456e-01
6.122611025738243784e-01	2.522616673955336841e-01
6.530785094120793444e-01	2.498575156261067520e-01
6.938959162503343103e-01	1.765627599497552602e-01
7.347133230885892763e-01	2.024287704768647778e-01
7.755307299268442423e-01	2.137454967908479775e-01
8.163481367650992082e-01	1.833794339935350404e-01
8.571655436033541742e-01	1.742140887938050109e-01
8.979829504416091401e-01	1.415499603770333792e-01
9.388003572798641061e-01	1.365117237694658814e-01
9.796177641181189610e-01	1.515442665944639333e-01
1.020435170956373927e+00	1.741401266692468863e-01
1.061252577794628893e+00	1.462457843890756781e-01
1.102069984632883859e+00	1.958532131561934730e-01
1.142887391471138825e+00	1.506893804413152183e-01
1.183704798309393791e+00	1.270547586002440388e-01
1.224522205147648757e+00	1.086584211786786186e-01
1.265339611985903723e+00	1.243117590883877632e-01
1.306157018824158689e+00	1.277743071591180002e-01
1.346974425662413655e+00	1.133444452399383767e-01
1.387791832500668621e+00	1.147085342810706815e-01
1.428609239338923587e+00	1.090047968669512757e-01
1.469426646177178553e+00	1.088930474757295180e-01
1.510244053015433519e+00	9.301808831978244929e-02
1.551061459853688485e+00	8.188053387783722492e-02
1.591878866691943450e+00	9.980777104910563968e-02
1.632696273530198416e+00	1.049130171448697108e-01
1.673513680368453382e+00	8.606235890391414345e-02
1.714331087206708348e+00	8.822998275164486981e-02
1.755148494044963314e+00	1.005019101289468392e-01
1.795965900883218280e+00	8.456014411923923335e-02
1.836783307721473246e+00	8.671588746068964459e-02
1.877600714559728212e+00	7.870913924373099113e-02
1.918418121397983178e+00	7.909394832154874322e-02
1.959235528236237922e+00	9.165801827068130458e-02
2.000052935074493110e+00	7.982419435295837196e-02
2.040870341912747854e+00	1.340353905804664569e-01
2.081687748751003042e+00	7.268169650959352412e-02
2.122505155589257786e+00	6.084735658381244111e-02
2.163322562427512974e+00	6.915514252892848712e-02
2.204139969265767718e+00	6.389931218645986122e-02
2.244957376104022906e+00	6.388630081939328242e-02
2.285774782942277650e+00	5.617058740028722102e-02
2.326592189780532838e+00	7.050503980172478924e-02
2.367409596618787582e+00	6.170809429102969840e-02
2.408227003457042770e+00	7.020236874974235264e-02
2.449044410295297514e+00	5.945363071438607150e-02
2.489861817133552702e+00	4.655115298950247144e-02
2.530679223971807446e+00	6.630087253363792232e-02
2.571496630810062634e+00	6.443263055789030802e-02
2.612314037648317377e+00	5.673550168653691828e-02
2.653131444486572121e+00	6.412951878286798912e-02
2.693948851324827309e+00	6.343861017398326474e-02
2.734766258163082053e+00	6.568158208841259893e-02
2.775583665001337241e+00	6.647965879304357228e-02
2.816401071839591985e+00	4.166317490920745659e-02
2.857218478677847173e+00	6.036984418558228455e-02
2.898035885516101917e+00	4.102783821988879170e-02
2.938853292354357105e+00	6.186432312610720685e-02
