# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	9.039939279661566104e-06
2.406738868832731804e+00	5.574293479329842007e-04
4.813477737665463607e+00	4.103145402411183902e-05
7.220216606498195411e+00	1.770967980987366997e-06
9.626955475330927214e+00	2.800298272025628021e-07
1.203369434416365991e+01	6.808962784805696356e-08
1.444043321299639082e+01	2.423755877780317739e-08
1.684717208182912174e+01	8.744201720643399141e-09
1.925391095066185443e+01	3.837176740108661065e-09
2.166064981949458712e+01	1.948947820502771733e-09
2.406738868832731981e+01	1.030800396116097222e-09
2.647412755716004895e+01	5.491506364666925006e-10
2.888086642599278164e+01	3.351253514528387550e-10
3.128760529482551433e+01	2.021425156866762020e-10
3.369434416365824347e+01	1.575865176759786863e-10
3.610108303249097617e+01	9.457160382886717319e-11
3.850782190132370886e+01	6.353486067040848333e-11
4.091456077015644155e+01	4.332766959461133137e-11
4.332129963898917424e+01	3.984031232778566646e-11
4.572803850782190693e+01	2.056369681418302567e-11
4.813477737665463962e+01	1.571741750921862466e-11
5.054151624548736521e+01	1.205689621263169568e-11
5.294825511432009790e+01	9.212373796063801305e-12
5.535499398315283059e+01	7.366476001974283872e-12
5.776173285198556329e+01	5.780698193839537619e-12
6.016847172081829598e+01	4.777166519755205935e-12
6.257521058965102867e+01	3.638584315925434582e-12
6.498194945848375426e+01	3.359655856941444712e-12
6.738868832731648695e+01	2.504102008723124578e-12
6.979542719614921964e+01	2.144605359781091896e-12
7.220216606498195233e+01	1.820598217512568620e-12
7.460890493381468502e+01	1.562027239093896847e-12
7.701564380264741771e+01	1.122195275917442762e-12
7.942238267148015041e+01	9.287979769036878029e-13
8.182912154031288310e+01	9.207437666577550133e-13
8.423586040914561579e+01	7.375355088245062924e-13
8.664259927797834848e+01	8.789229672895630020e-13
8.904933814681108117e+01	7.039410520090775447e-13
9.145607701564381387e+01	6.301562490087321478e-13
9.386281588447654656e+01	6.169954473111158251e-13
9.626955475330927925e+01	4.069038968951165748e-13
9.867629362214199773e+01	2.824568421658894872e-13
1.010830324909747304e+02	2.400944419576939176e-13
1.034897713598074631e+02	1.977146655473583811e-13
1.058965102286401958e+02	1.576480688491539195e-13
1.083032490974729285e+02	1.339465559378079115e-13
1.107099879663056612e+02	1.191060933162906874e-13
1.131167268351383939e+02	1.019206787337408593e-13
1.155234657039711266e+02	9.811592430436146152e-14
1.179302045728038593e+02	8.247070737874613700e-14
1.203369434416365920e+02	6.236525640109739928e-14
1.227436823104693246e+02	5.630877875800764116e-14
1.251504211793020573e+02	4.784745979028481420e-14
1.275571600481347900e+02	4.228106482192651657e-14
1.299638989169675085e+02	3.907388887433704345e-14
1.323706377858002554e+02	3.389197782856684183e-14
1.347773766546329739e+02	3.671250632737079969e-14
1.371841155234657208e+02	4.266346956027534234e-14
1.395908543922984393e+02	3.963105877940445354e-14
1.419975932611311862e+02	2.977481219019308352e-14
1.444043321299639047e+02	3.712385134427172726e-14
1.468110709987966516e+02	3.711687050933297776e-14
1.492178098676293700e+02	2.335902272104600134e-14
1.516245487364621169e+02	1.780323905278272531e-14
1.540312876052948354e+02	1.712901287260861600e-14
1.564380264741275539e+02	1.351069909737573526e-14
1.588447653429603008e+02	1.302427874692192049e-14
1.612515042117930193e+02	1.114523900864912995e-14
1.636582430806257662e+02	1.122557501658999549e-14
1.660649819494584847e+02	1.495165980280891882e-14
1.684717208182912316e+02	1.450772975875528282e-14
1.708784596871239501e+02	1.147588008431778974e-14
1.732851985559566970e+02	6.898271915158766563e-15
1.756919374247894154e+02	6.216523786546641083e-15
1.780986762936221623e+02	5.539015830748577512e-15
1.805054151624548808e+02	5.148117609273541305e-15
1.829121540312876277e+02	4.811631600565758577e-15
1.853188929001203462e+02	3.872128676935987242e-15
1.877256317689530931e+02	4.124572628375982513e-15
1.901323706377858116e+02	3.569952127290561739e-15
1.925391095066185585e+02	3.266697758629770716e-15
1.949458483754512770e+02	3.155393128502034011e-15
1.973525872442839955e+02	3.210494509248914298e-15
1.997593261131167424e+02	2.921996626301209859e-15
2.021660649819494608e+02	2.398894438099994792e-15
2.045728038507822077e+02	2.474160591092045639e-15
2.069795427196149262e+02	2.179348963464269248e-15
2.093862815884476731e+02	2.077237082396245798e-15
2.117930204572803916e+02	1.919912055831329327e-15
2.141997593261131385e+02	1.612578819653290190e-15
2.166064981949458570e+02	1.550777560874048784e-15
2.190132370637786039e+02	1.328094255153063544e-15
2.214199759326113224e+02	1.307643582680215895e-15
2.238267148014440693e+02	1.412850315238926064e-15
2.262334536702767878e+02	1.182783494356594815e-15
2.286401925391095347e+02	1.196129901770980102e-15
2.310469314079422531e+02	1.169241309135794008e-15
2.334536702767749716e+02	1.011772542050301564e-15
2.358604091456077185e+02	8.594351061016625087e-16
2.382671480144404370e+02	9.223672484004884113e-16
2.406738868832731839e+02	1.181650762873051378e-15
2.430806257521059024e+02	6.833744438046717958e-16
2.454873646209386493e+02	5.930262629091515603e-16
2.478941034897713678e+02	4.576481082296473264e-16
2.503008423586041147e+02	4.360497152311306814e-16
2.527075812274368332e+02	4.920645932045271524e-16
2.551143200962695801e+02	7.769000276105490517e-16
2.575210589651023270e+02	5.498194759719030860e-16
2.599277978339350170e+02	2.834845287653604003e-16
2.623345367027677639e+02	2.113821640941640634e-16
2.647412755716005108e+02	1.816933095199239747e-16
2.671480144404332577e+02	1.576416145794523486e-16
2.695547533092659478e+02	1.400349151765547197e-16
2.719614921780986947e+02	1.195563186250040147e-16
2.743682310469314416e+02	1.081300712594534314e-16
2.767749699157641317e+02	9.327218317233786548e-17
2.791817087845968786e+02	7.289516263976329472e-17
2.815884476534296255e+02	6.490194200003922354e-17
2.839951865222623724e+02	4.822177044096220757e-17
2.864019253910950624e+02	4.229767822678272627e-17
2.888086642599278093e+02	3.315999438603609648e-17
2.912154031287605562e+02	2.414430130480845180e-17
2.936221419975933031e+02	1.768664678586758351e-17
2.960288808664259932e+02	1.192534138620627803e-17
2.984356197352587401e+02	7.767657779389673334e-18
3.008423586040914870e+02	4.284415542889833784e-18
3.032490974729242339e+02	1.904245294527121008e-18
3.056558363417569240e+02	4.779089903964562706e-19
3.080625752105896709e+02	1.678473122992304494e-21
