# Frequency (Hz)	Amplitude
0.000000000000000000e+00	8.318484906211251560e-04
1.666644531543982205e-02	8.342724279547514407e-04
3.333289063087964410e-02	8.415007814551847586e-04
4.999933594631946615e-02	8.534114700936567014e-04
6.666578126175928820e-02	8.697972659039685016e-04
8.333222657719910331e-02	8.904260694547502623e-04
9.999867189263893230e-02	9.150161709531447023e-04
1.166651172080787613e-01	9.432521408981424382e-04
1.333315625235185764e-01	9.748485702286760739e-04
1.499980078389583915e-01	1.009548772709897456e-03
1.666644531543982066e-01	1.047001610137992741e-03
1.833308984698380495e-01	1.087238293269164298e-03
1.999973437852778646e-01	1.128923883862045612e-03
2.166637891007176797e-01	1.174877957211406662e-03
2.333302344161575226e-01	1.221690610462365222e-03
2.499966797315973377e-01	1.271039316966133311e-03
2.666631250470371528e-01	1.321260706385901261e-03
2.833295703624769679e-01	1.369494671803097707e-03
2.999960156779167830e-01	1.428500831177534000e-03
3.166624609933565981e-01	1.489921192328451729e-03
3.333289063087964132e-01	1.557399367286537665e-03
3.499953516242362839e-01	1.651126439625387465e-03
3.666617969396760990e-01	1.689286564669980825e-03
3.833282422551159141e-01	1.742852942050743649e-03
3.999946875705557292e-01	1.871757534839422251e-03
4.166611328859955443e-01	1.919819101205857623e-03
4.333275782014353594e-01	2.038647643733740560e-03
4.499940235168751745e-01	2.374304132989315131e-03
4.666604688323150452e-01	2.196466817902957818e-03
4.833269141477548603e-01	2.394070598101951091e-03
4.999933594631946754e-01	2.608399963992732388e-03
5.166598047786344905e-01	2.351663314430149383e-03
5.333262500940743056e-01	2.400945927462524131e-03
5.499926954095141207e-01	2.578269250683255624e-03
5.666591407249539358e-01	3.263570641848383396e-03
5.833255860403937509e-01	3.827834672882698356e-03
5.999920313558335661e-01	2.678658651857649883e-03
6.166584766712733812e-01	5.040352617982757528e-03
6.333249219867131963e-01	7.560301232179847354e-04
6.499913673021530114e-01	8.158438800788012785e-03
6.666578126175928265e-01	1.221993082154980729e-03
6.833242579330327526e-01	1.142250124431918971e-02
6.999907032484725677e-01	5.452281946097516964e-03
7.166571485639123829e-01	3.349711063663973840e-03
7.333235938793521980e-01	2.593329649746180590e-03
7.499900391947920131e-01	9.085610412798105634e-03
