# Frequency (Hz)	Amplitude
0.000000000000000000e+00	6.046558475813637301e+01
3.389835221566449286e-02	6.472032923192860387e+00
6.779670443132898572e-02	5.811057327166930264e+01
1.016950566469934786e-01	5.242496193876962707e+01
1.355934088626579714e-01	1.122833782135633669e+02
1.694917610783224782e-01	3.003002106416076700e+01
2.033901132939869572e-01	3.807968246012158886e+01
2.372884655096514361e-01	7.975186515573790302e+01
2.711868177253159429e-01	1.577136336298952735e+01
3.050851699409804496e-01	3.449386328480031949e+01
3.389835221566449563e-01	3.419342768183960146e+01
3.728818743723094076e-01	7.822714412952137764e+00
4.067802265879739143e-01	2.266062461971474562e+01
4.406785788036384210e-01	1.671288690882339267e+01
4.745769310193028723e-01	1.909604485737082058e+01
5.084752832349673790e-01	1.834398389773232108e+00
5.423736354506318857e-01	9.896395112055847321e+00
5.762719876662963925e-01	1.746622222210582365e+01
6.101703398819608992e-01	3.072879078765889815e+01
6.440686920976254060e-01	7.980479126260424660e-01
6.779670443132899127e-01	7.055697269042063624e+00
7.118653965289543084e-01	4.945889170672414181e+00
7.457637487446188151e-01	1.177951399072036764e+01
7.796621009602833219e-01	6.694080249040704089e+00
8.135604531759478286e-01	4.372801367091617486e+00
8.474588053916123354e-01	7.726162040182244617e+00
8.813571576072768421e-01	9.746409242972723375e-01
9.152555098229413488e-01	2.972872321663916573e+00
9.491538620386057445e-01	6.735729995298293638e+00
9.830522142542702513e-01	9.269408068649067189e+00
1.016950566469934758e+00	4.981743002330583536e+00
1.050848918685599376e+00	8.563126505414773604e+00
1.084747270901263771e+00	7.844902059371869463e+00
1.118645623116928167e+00	9.460736911737097188e+00
1.152543975332592785e+00	3.021823636422418247e+00
1.186442327548257181e+00	1.804760841249770875e+00
1.220340679763921798e+00	4.892395005468364921e+00
1.254239031979586194e+00	3.457602549276847625e+00
1.288137384195250812e+00	5.548055271582115644e+00
1.322035736410915208e+00	5.997064256343269228e+00
1.355934088626579825e+00	1.115617964761174719e+01
1.389832440842244221e+00	9.431436007050237436e+00
1.423730793057908617e+00	5.936951438127898939e+00
1.457629145273573235e+00	5.393112344148168980e+00
1.491527497489237630e+00	3.859950535832973095e+00
1.525425849704902248e+00	4.854411077864791757e+00
1.559324201920566644e+00	4.978897807908642115e+00
1.593222554136231262e+00	2.632883540684078039e+00
1.627120906351895657e+00	6.236601234427529228e+00
1.661019258567560053e+00	2.091892649201454901e+01
1.694917610783224671e+00	2.743471967373875220e+00
1.728815962998889066e+00	5.291538745263046906e+00
1.762714315214553684e+00	8.672250571045292844e+00
1.796612667430218080e+00	1.227404620924715850e+01
1.830511019645882698e+00	1.865915153636083446e+01
1.864409371861547093e+00	3.401479831293958966e+01
1.898307724077211489e+00	2.213796742783500804e+01
1.932206076292876107e+00	2.130974442303380911e+01
1.966104428508540503e+00	6.833486930876578214e+00
2.000002780724205120e+00	1.242317946690262254e+01
2.033901132939869516e+00	4.253206079596211886e+00
2.067799485155533912e+00	1.097045148355436339e+01
2.101697837371198752e+00	1.337323217194691338e+01
2.135596189586863147e+00	2.185790726195314448e+00
2.169494541802527543e+00	1.383533242717643041e+01
2.203392894018191939e+00	9.333268254593098945e+00
2.237291246233856334e+00	9.206503189040931900e+00
2.271189598449521174e+00	3.172464943879601762e+00
2.305087950665185570e+00	4.441136576887779519e+00
2.338986302880849966e+00	3.403678249288158764e+00
2.372884655096514361e+00	3.994957641225691525e+00
2.406783007312179201e+00	3.477792129702003798e+00
2.440681359527843597e+00	6.323895340377410967e+00
2.474579711743507993e+00	1.053218164697348769e+01
2.508478063959172388e+00	6.798627203140236830e+00
2.542376416174836784e+00	1.074087639789706827e+01
2.576274768390501624e+00	4.648397847988296583e+00
2.610173120606166020e+00	5.430104763784296296e+00
2.644071472821830415e+00	7.001140092255972114e+00
2.677969825037494811e+00	1.346364048382483247e+01
2.711868177253159651e+00	8.487471615164224659e+00
2.745766529468824046e+00	4.286855258087799214e+00
2.779664881684488442e+00	6.898926786611896844e+00
2.813563233900152838e+00	6.044786595123083472e+00
2.847461586115817234e+00	3.902873812025979827e+00
2.881359938331482073e+00	3.136694342285698767e+00
2.915258290547146469e+00	8.958706778394221359e+00
2.949156642762810865e+00	1.704236660319152818e+01
2.983054994978475261e+00	2.644040014480103729e+00
3.016953347194139656e+00	6.372485692103927235e+00
3.050851699409804496e+00	6.875456125793185436e+00
3.084750051625468892e+00	9.962179654155200126e+00
3.118648403841133288e+00	4.978367264028255690e+00
3.152546756056797683e+00	6.273424212509032927e+00
3.186445108272462523e+00	2.384968841339069279e+00
3.220343460488126919e+00	3.244521371967043599e+00
3.254241812703791314e+00	2.808061993019149938e+00
3.288140164919455710e+00	4.521056678653597061e+00
