# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	2.062689630540328820e-02
7.220216606498194523e+00	1.868717175315270929e-01
1.444043321299638905e+01	1.985381740043053178e-02
2.166064981949458357e+01	1.297642548446975444e-03
2.888086642599277809e+01	1.049496717160313904e-04
3.610108303249097617e+01	1.447626486653545275e-05
4.332129963898916714e+01	4.661236662330769492e-06
5.054151624548735811e+01	1.786396566158929420e-06
5.776173285198555618e+01	7.848818434374777865e-07
6.498194945848375426e+01	3.813160788477589502e-07
7.220216606498195233e+01	2.006362430004571385e-07
7.942238267148013620e+01	1.124135048643012928e-07
8.664259927797833427e+01	6.631137689380478782e-08
9.386281588447653235e+01	4.083884873311244592e-08
1.010830324909747162e+02	2.608709515579102561e-08
1.083032490974729143e+02	1.719493221644502987e-08
1.155234657039711124e+02	1.164663698931156265e-08
1.227436823104693104e+02	8.079215377396642829e-09
1.299638989169675085e+02	5.724013732166876786e-09
1.371841155234656924e+02	4.132277023586414100e-09
1.444043321299639047e+02	3.033800774730861740e-09
1.516245487364620885e+02	2.261367290656677743e-09
1.588447653429602724e+02	1.708917953251918403e-09
1.660649819494584847e+02	1.307677506982084319e-09
1.732851985559566685e+02	1.012143022753508683e-09
1.805054151624548524e+02	7.916534080158161625e-10
1.877256317689530647e+02	6.252000093070815698e-10
1.949458483754512486e+02	4.981652180141108378e-10
2.021660649819494324e+02	4.002333533193766969e-10
2.093862815884476447e+02	3.240287961206915653e-10
2.166064981949458286e+02	2.642137144957579012e-10
2.238267148014440409e+02	2.168812518856130484e-10
2.310469314079422247e+02	1.791416971239440760e-10
2.382671480144404086e+02	1.488365766077941557e-10
2.454873646209386209e+02	1.243387168036380854e-10
2.527075812274368047e+02	1.044108308776185374e-10
2.599277978339350170e+02	8.810442866618464865e-11
2.671480144404332009e+02	7.468682536404470657e-11
2.743682310469313848e+02	6.358793977020562970e-11
2.815884476534295686e+02	5.436117056546194981e-11
2.888086642599278093e+02	4.665438262666579400e-11
2.960288808664259932e+02	4.018821910665686691e-11
3.032490974729241771e+02	3.473976693589572779e-11
3.104693140794223609e+02	3.013016599556422049e-11
3.176895306859205448e+02	2.621514569734640800e-11
3.249097472924187286e+02	2.287775043949295939e-11
3.321299638989169694e+02	2.002271305563478317e-11
3.393501805054151532e+02	1.757207725176751938e-11
3.465703971119133371e+02	1.546177258180509265e-11
3.537906137184115209e+02	1.363892026999553505e-11
3.610108303249097048e+02	1.205970300387830064e-11
3.682310469314079455e+02	1.068767233125383315e-11
3.754512635379061294e+02	9.492397402527463626e-12
3.826714801444043133e+02	8.448381321163583930e-12
3.898916967509024971e+02	7.534188315805007473e-12
3.971119133574006810e+02	6.731737774760736068e-12
4.043321299638988648e+02	6.025730940458550956e-12
4.115523465703971056e+02	5.403183530298264308e-12
4.187725631768952894e+02	4.853043288225140905e-12
4.259927797833934733e+02	4.365875907359122208e-12
4.332129963898916571e+02	3.933606203717238667e-12
4.404332129963898410e+02	3.549304107445754986e-12
4.476534296028880817e+02	3.207007137497594438e-12
4.548736462093862656e+02	2.901572679563656064e-12
4.620938628158844494e+02	2.628554691795477858e-12
4.693140794223826333e+02	2.384100498229770678e-12
4.765342960288808172e+02	2.164864151637738145e-12
4.837545126353790579e+02	1.967933506511019388e-12
4.909747292418772417e+02	1.790768669488312709e-12
4.981949458483754256e+02	1.631149918056177952e-12
5.054151624548736095e+02	1.487133521049996854e-12
5.126353790613718502e+02	1.357014171296392589e-12
5.198555956678700340e+02	1.239292965277482622e-12
5.270758122743682179e+02	1.132650048711584461e-12
5.342960288808664018e+02	1.035921196170101438e-12
5.415162454873645856e+02	9.480777155988766924e-13
5.487364620938627695e+02	8.682091694201523266e-13
5.559566787003609534e+02	7.955084875940353959e-13
5.631768953068591372e+02	7.292591155572851482e-13
5.703971119133573211e+02	6.688238976288013512e-13
5.776173285198556187e+02	6.136354436188630889e-13
5.848375451263538025e+02	5.631877652431375723e-13
5.920577617328519864e+02	5.170290020633643721e-13
5.992779783393501702e+02	4.747550841424885148e-13
6.064981949458483541e+02	4.360042013583560376e-13
6.137184115523465380e+02	4.004519687387810607e-13
6.209386281588447218e+02	3.678071933732081951e-13
6.281588447653429057e+02	3.378081624724240996e-13
6.353790613718410896e+02	3.102193832035032996e-13
6.425992779783392734e+02	2.848287151161043152e-13
6.498194945848374573e+02	2.614448443401921694e-13
6.570397111913357548e+02	2.398950555673100703e-13
6.642599277978339387e+02	2.200232640896827802e-13
6.714801444043321226e+02	2.016882751148761320e-13
6.787003610108303064e+02	1.847622422512205935e-13
6.859205776173284903e+02	1.691293005875184668e-13
6.931407942238266742e+02	1.546843530385677967e-13
7.003610108303248580e+02	1.413319916737768437e-13
7.075812274368230419e+02	1.289855377506947324e-13
7.148014440433212258e+02	1.175661865651222219e-13
7.220216606498194096e+02	1.070022448529653563e-13
7.292418772563175935e+02	9.722845000147695670e-14
7.364620938628158910e+02	8.818536177459363934e-14
7.436823104693140749e+02	7.981881830485378768e-14
7.509025270758122588e+02	7.207944922159949630e-14
7.581227436823104426e+02	6.492223950101343393e-14
7.653429602888086265e+02	5.830613855190445135e-14
7.725631768953068104e+02	5.219370966570102904e-14
7.797833935018049942e+02	4.655081543720787357e-14
7.870036101083031781e+02	4.134633543037833186e-14
7.942238267148013620e+02	3.655191274824724323e-14
8.014440433212995458e+02	3.214172646860441277e-14
8.086642599277977297e+02	2.809228740219989172e-14
8.158844765342960272e+02	2.438225485860862020e-14
8.231046931407942111e+02	2.099227236054220796e-14
8.303249097472923950e+02	1.790482050298912771e-14
8.375451263537905788e+02	1.510408537008217851e-14
8.447653429602887627e+02	1.257584112824076075e-14
8.519855595667869466e+02	1.030734552873015222e-14
8.592057761732851304e+02	8.287247246749648934e-15
8.664259927797833143e+02	6.505504105606136811e-15
8.736462093862814982e+02	4.953311348423258519e-15
8.808664259927796820e+02	3.623039243113973142e-15
8.880866425992779796e+02	2.508179388359129652e-15
8.953068592057761634e+02	1.603299189077412566e-15
9.025270758122743473e+02	9.040040718529677592e-16
9.097472924187725312e+02	4.069070494764475894e-16
9.169675090252707150e+02	1.096053473099676921e-16
9.241877256317688989e+02	5.331935487505899761e-18
