# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	2.356062036234194412e-01
2.666631250470371736e-02	8.546266630515084728e-01
5.333262500940743472e-02	1.819784629181466551e+00
7.999893751411114862e-02	3.942066804475428121e-01
1.066652500188148694e-01	1.415806556715711595e-01
1.333315625235185764e-01	2.409400004814748197e-01
1.599978750282222972e-01	1.619004895412776146e-01
1.866641875329260181e-01	2.352644523670007204e-01
2.133305000376297389e-01	4.863589899298444430e-01
2.399968125423334597e-01	3.324680816774657766e-01
2.666631250470371528e-01	3.459635807829640197e-01
2.933294375517409014e-01	3.594696142230763281e-01
3.199957500564445945e-01	4.582007557306188028e-01
3.466620625611483431e-01	8.663524812310627876e-01
3.733283750658520361e-01	4.273177831778643965e-01
3.999946875705557847e-01	6.817608533995733744e-01
4.266610000752594778e-01	1.906097777976842322e-01
4.533273125799631709e-01	9.777860149650215160e-02
4.799936250846669195e-01	1.769155214741083837e-01
5.066599375893706680e-01	3.024351096632312830e-01
5.333262500940743056e-01	1.582137388658518273e-01
5.599925625987780542e-01	4.173475911159434393e-01
5.866588751034818028e-01	1.341995513456240019e-01
6.133251876081855514e-01	1.259703493785199468e-01
6.399915001128891889e-01	3.267819698720159094e-02
6.666578126175929375e-01	6.327219435756734067e-02
6.933241251222966861e-01	1.473659359425370519e-01
7.199904376270003237e-01	3.785818874722114424e-01
7.466567501317040723e-01	5.325380920810004470e-01
7.733230626364078208e-01	1.341226578114495804e-01
7.999893751411115694e-01	7.957383004957210848e-02
8.266556876458152070e-01	7.530443774875102136e-02
8.533220001505189556e-01	2.479210982557992771e-01
8.799883126552227042e-01	5.857066648488293281e-02
9.066546251599263417e-01	1.236035050216457848e-01
9.333209376646300903e-01	2.221431897863362925e-01
9.599872501693338389e-01	9.454254424710080429e-02
9.866535626740375875e-01	7.262292331045534788e-02
1.013319875178741336e+00	6.744266752745940730e-02
1.039986187683445085e+00	1.610416710816369446e-01
1.066652500188148611e+00	1.431410248994879619e-01
1.093318812692852360e+00	1.735159463610946584e-01
1.119985125197556108e+00	5.423077681310098930e-01
1.146651437702259857e+00	1.365757663684132872e-01
1.173317750206963606e+00	9.330700553464431335e-02
1.199984062711667354e+00	4.622536548217061059e-01
1.226650375216371103e+00	1.377077289894919898e-01
1.253316687721074629e+00	1.257178835083950230e-01
1.279983000225778378e+00	6.780766056952913790e-02
1.306649312730482126e+00	8.360907551965118811e-02
1.333315625235185875e+00	5.597110956426416817e-02
1.359981937739889624e+00	1.359310518649043120e-01
1.386648250244593372e+00	1.883824677223283062e-01
1.413314562749297121e+00	1.485150581139011716e-01
1.439980875254000647e+00	7.547639982462739372e-02
1.466647187758704396e+00	1.250643002127111436e-01
1.493313500263408145e+00	2.174007521556797773e-01
1.519979812768111893e+00	1.164296185756685531e-01
1.546646125272815642e+00	3.912517232946906981e-02
1.573312437777519390e+00	5.167381743795921439e-02
1.599978750282223139e+00	1.761459024909171334e-01
1.626645062786926665e+00	4.509344337365447236e-02
1.653311375291630414e+00	6.109872455639694250e-02
1.679977687796334163e+00	7.836477383306107714e-02
1.706644000301037911e+00	4.409641139132742249e-01
1.733310312805741660e+00	1.100944513010608528e-01
1.759976625310445408e+00	6.217839510761024452e-02
1.786642937815149157e+00	1.012840965884329730e-01
1.813309250319852683e+00	1.569526353349911529e-01
1.839975562824556432e+00	6.093633268228602212e-02
1.866641875329260181e+00	4.411334474546634715e-02
1.893308187833963929e+00	5.616055922386221921e-02
1.919974500338667678e+00	8.352893909339209610e-02
1.946640812843371426e+00	8.240496352881318542e-02
1.973307125348075175e+00	5.632354040049317723e-01
1.999973437852778702e+00	2.774517450944123387e-01
2.026639750357482672e+00	3.354949314927438975e-01
2.053306062862186199e+00	1.071515385478806343e-01
2.079972375366890169e+00	1.742579201907138442e-01
2.106638687871593696e+00	1.619198170592240082e-01
2.133305000376297222e+00	5.136768970894004666e-02
2.159971312881001193e+00	2.089546911154619435e-01
2.186637625385704720e+00	4.663236880392635647e-02
2.213303937890408690e+00	3.442746860331719755e-02
2.239970250395112217e+00	1.385750499857462958e-01
2.266636562899816187e+00	4.478065238683558158e-02
2.293302875404519714e+00	5.247124129647608853e-02
2.319969187909223240e+00	1.276201321635295205e-01
2.346635500413927211e+00	1.181486799901059759e-01
2.373301812918630738e+00	1.158200749675247498e-01
2.399968125423334708e+00	5.777076477930107729e-02
2.426634437928038235e+00	8.072195369015168487e-02
2.453300750432742205e+00	5.603173550236460743e-02
2.479967062937445732e+00	4.838983835348959622e-02
2.506633375442149259e+00	3.960192498730852328e-02
2.533299687946853229e+00	2.861688908086219840e-02
2.559966000451556756e+00	7.151984259706788138e-02
2.586632312956260726e+00	5.138461852566274246e-02
2.613298625460964253e+00	2.444301908626897168e-01
2.639964937965668224e+00	8.839953821746472651e-02
2.666631250470371750e+00	9.946632013263630168e-02
2.693297562975075277e+00	5.290161422782092143e-02
2.719963875479779247e+00	1.871987242338906121e-01
2.746630187984482774e+00	4.733289244603479384e-02
2.773296500489186744e+00	1.314034457092205233e-01
2.799962812993890271e+00	3.055981176302439706e-01
2.826629125498594242e+00	2.796505214882034629e-01
2.853295438003297768e+00	3.059576497096685999e-01
2.879961750508001295e+00	2.380547879427072355e-01
2.906628063012705265e+00	3.969651373643042630e-02
2.933294375517408792e+00	1.014550456435418524e-01
2.959960688022112762e+00	4.516380812191702482e-02
2.986627000526816289e+00	1.334812543816538688e-01
3.013293313031520260e+00	5.451834551805111867e-02
3.039959625536223786e+00	1.203187771857378574e-01
3.066625938040927313e+00	8.764570981301218755e-02
3.093292250545631283e+00	7.410922790025391282e-02
3.119958563050334810e+00	2.315115968047561923e-01
3.146624875555038781e+00	1.150241145711393964e-01
3.173291188059742307e+00	6.541353859379339664e-02
3.199957500564446278e+00	8.970775673637366998e-02
3.226623813069149804e+00	1.198439082829425711e-01
3.253290125573853331e+00	7.789196017772231917e-02
3.279956438078557301e+00	8.422138499772484355e-02
3.306622750583260828e+00	1.125565665550388866e-01
3.333289063087964799e+00	1.034837142568585389e-01
3.359955375592668325e+00	1.131660331533322905e-01
3.386621688097372296e+00	8.736628086826342399e-02
3.413288000602075822e+00	9.232686376653918836e-02
3.439954313106779349e+00	6.978231597943344855e-02
3.466620625611483320e+00	1.117643384973439485e-01
3.493286938116186846e+00	7.448252531456045489e-02
3.519953250620890817e+00	8.022393507079453312e-02
3.546619563125594343e+00	1.259459757495547672e-01
3.573285875630298314e+00	7.139661079162751278e-01
3.599952188135001840e+00	1.024546689088772083e-01
3.626618500639705367e+00	1.347375744321626101e-01
3.653284813144409338e+00	6.895782694177324257e-02
3.679951125649112864e+00	9.499261944145642733e-02
3.706617438153816835e+00	1.095798637409048232e-01
3.733283750658520361e+00	2.012248065237479677e-01
3.759950063163224332e+00	2.296993829448326641e-01
3.786616375667927858e+00	7.931778409061337465e-01
3.813282688172631385e+00	2.010945764287048743e-01
3.839949000677335356e+00	2.090940318892013372e-01
3.866615313182038882e+00	1.274923992603176626e-01
3.893281625686742853e+00	1.011357993695309210e+00
3.919947938191446379e+00	2.468644667025430006e-01
