# X 	Z
0.000000000000000000e+00	-8.265116168109453554e+01
1.623046874999999924e-03	-8.037496502918358487e+01
3.246093749999999847e-03	-7.810257311086691345e+01
4.869140624999999771e-03	-7.583556315566156059e+01
6.492187499999999695e-03	-7.357550425356573953e+01
8.115234375000000486e-03	-7.132395477404645590e+01
9.738281249999999542e-03	-6.908245981632578037e+01
1.136132812500000033e-02	-6.685254869901960717e+01
1.298437499999999939e-02	-6.463573249686334066e+01
1.460742187500000018e-02	-6.243350163187408697e+01
1.623046875000000097e-02	-6.024732352586007522e+01
1.785351562500000003e-02	-5.807864032070677496e+01
1.947656249999999908e-02	-5.592886667235836029e+01
2.109960937500000161e-02	-5.379938762388523088e+01
2.272265625000000067e-02	-5.169155656249403563e+01
2.434570312499999972e-02	-4.960669326480563512e+01
2.596874999999999878e-02	-4.754608203420634283e+01
2.759179687500000130e-02	-4.551096993357503351e+01
2.921484375000000036e-02	-4.350256511620661826e+01
3.083789062499999942e-02	-4.152203525729443356e+01
3.246093750000000194e-02	-3.957050608790093804e+01
3.408398437500000100e-02	-3.764906003293828718e+01
3.570703125000000006e-02	-3.575873495429627980e+01
3.733007812499999911e-02	-3.390052299989481099e+01
3.895312499999999817e-02	-3.207536955909903043e+01
4.057617187499999722e-02	-3.028417232461652375e+01
4.219921875000000322e-02	-2.852778046069551010e+01
4.382226562500000228e-02	-2.680699387716002846e+01
4.544531250000000133e-02	-2.512256260855131274e+01
4.706835937500000039e-02	-2.347518629739328588e+01
4.869140624999999944e-02	-2.186551378036340054e+01
5.031445312499999850e-02	-2.029414277592776017e+01
5.193749999999999756e-02	-1.876161967179121604e+01
5.356054687499999661e-02	-1.726843941031854612e+01
5.518359375000000261e-02	-1.581504546990174731e+01
5.680664062500000167e-02	-1.440182994008045370e+01
5.842968750000000072e-02	-1.302913368806742866e+01
6.005273437499999978e-02	-1.169724661418850431e+01
6.167578124999999883e-02	-1.040640799361590219e+01
6.329882812499999789e-02	-9.156806901655381026e+00
6.492187500000000389e-02	-7.948582719740702629e+00
6.654492187499999600e-02	-6.781825719193157909e+00
6.816796875000000200e-02	-5.656577719719155795e+00
6.979101562499999412e-02	-4.572832819544572658e+00
7.141406250000000011e-02	-3.530538194020633291e+00
7.303710937500000611e-02	-2.529594959482042604e+00
7.466015624999999822e-02	-1.569859099093592336e+00
7.628320312500000422e-02	-6.511424473862722495e-01
7.790624999999999634e-02	2.267862698424206458e-01
7.952929687500000233e-02	1.064200343607027088e+00
8.115234374999999445e-02	1.861413941144120621e+00
8.277539062500000044e-02	2.618780920008002333e+00
8.439843750000000644e-02	3.336693600200461240e+00
8.602148437499999856e-02	4.015581497669857391e+00
8.764453125000000455e-02	4.655910022494802902e+00
8.926757812499999667e-02	5.258179145041152580e+00
9.089062500000000266e-02	5.822922033348191029e+00
9.251367187499999478e-02	6.350703664961148576e+00
9.413671875000000078e-02	6.842119416382734798e+00
9.575976562500000677e-02	7.297793633266635993e+00
9.738281249999999889e-02	7.718378184421046839e+00
9.900585937500000488e-02	8.104551002630772771e+00
1.006289062499999970e-01	8.457014615242375299e+00
1.022519531250000030e-01	8.776494667388677229e+00
1.038749999999999951e-01	9.063738440656930351e+00
1.054980468750000011e-01	9.319513369929408597e+00
1.071210937499999932e-01	9.544605561046521913e+00
1.087441406249999992e-01	9.739818311860966915e+00
1.103671875000000052e-01	9.905970639167323455e+00
1.119902343749999973e-01	1.004389581390521080e+01
1.136132812500000033e-01	1.015443990694582155e+01
1.152363281249999954e-01	1.023846034768193114e+01
1.168593750000000014e-01	1.029682449755028095e+01
1.184824218749999936e-01	1.033040824052313411e+01
1.201054687499999996e-01	1.034009459251289798e+01
1.217285156250000056e-01	1.032677233154032947e+01
1.233515624999999977e-01	1.029133465042316153e+01
1.249746093750000037e-01	1.023467783364843164e+01
1.265976562499999958e-01	1.015769995999832709e+01
1.282207031250000018e-01	1.006129963240641878e+01
1.298437500000000078e-01	9.946374736428877483e+00
1.314667968750000138e-01	9.813821228623947235e+00
