# X 	Z
0.000000000000000000e+00	2.261299633272984833e-01
2.705078125000000234e-04	2.490257066878346637e-01
5.410156250000000468e-04	2.566222997246182524e-01
8.115234374999999618e-04	2.491526707250623085e-01
1.082031250000000094e-03	2.110859497660656225e-01
1.352539062500000009e-03	2.411974445006338230e-01
1.623046874999999924e-03	2.515824644000340671e-01
1.893554687500000056e-03	5.843413364947080968e-02
2.164062500000000187e-03	-2.239054105514171056e-03
2.434570312499999886e-03	1.380782211489994804e-02
2.705078125000000017e-03	4.654849998915910891e-02
2.975585937500000149e-03	3.285081997713301671e-02
3.246093749999999847e-03	2.660706668252349472e-02
3.516601562499999979e-03	2.781747320697142145e-02
3.787109375000000111e-03	1.520475149558547789e-02
4.057617187500000243e-03	4.918328339983812914e-02
4.328125000000000375e-03	1.148632361049722883e-02
4.598632812499999639e-03	1.377934701932508332e-01
4.869140624999999771e-03	2.046167907407004660e-01
5.139648437499999903e-03	1.916104757269784797e-01
5.410156250000000035e-03	2.077224144024360786e-01
5.680664062500000167e-03	2.099321817805333557e-01
5.951171875000000298e-03	1.584034382552506337e-01
6.221679687500000430e-03	1.365365454632357922e-01
6.492187499999999695e-03	1.180846375378222790e-01
6.762695312499999827e-03	1.338766264034216835e-01
7.033203124999999958e-03	1.108405272988258750e-01
7.303710937500000090e-03	1.338521521917473422e-01
7.574218750000000222e-03	1.365177941869320510e-01
7.844726562499999487e-03	1.107615615193945358e-01
8.115234375000000486e-03	1.111737225015714814e-01
8.385742187499999750e-03	1.373657690161744493e-01
8.656250000000000749e-03	5.818043730198529939e-02
8.926757812500000014e-03	-1.600839587737306058e-01
9.197265624999999278e-03	-1.758280458633519894e-01
9.467773437500000278e-03	-1.743340848479738581e-01
9.738281249999999542e-03	-1.546705274186406243e-01
1.000878906250000054e-02	-1.122555775743432904e-01
1.027929687499999981e-02	1.407556727607237879e-01
1.054980468750000080e-02	7.818085606801106202e-02
1.082031250000000007e-02	1.373663384609861982e-01
1.109082031249999933e-02	1.293027074485341987e-01
1.136132812500000033e-02	1.205395034139977728e-01
1.163183593749999960e-02	1.135617146110619591e-01
1.190234375000000060e-02	1.013803678814425013e-01
1.217285156249999986e-02	1.236764650230827156e-01
1.244335937500000086e-02	1.319163057232741743e-01
1.271386718750000012e-02	1.150728482118758556e-01
1.298437499999999939e-02	-6.740750208258627918e-02
1.325488281250000039e-02	-9.248477240575841973e-02
1.352539062499999965e-02	-8.991867517198720572e-02
1.379589843750000065e-02	-7.671552358222960555e-02
1.406640624999999992e-02	-1.031171943517755207e-01
1.433691406249999918e-02	-7.555050052987788423e-02
1.460742187500000018e-02	-1.060697127690827801e-01
1.487792968749999944e-02	-8.797844786149355834e-02
1.514843750000000044e-02	-9.970703522080803793e-02
1.541894531249999971e-02	-7.167737125801648679e-02
1.568945312499999897e-02	-2.599916550948032645e-01
1.595996093749999997e-02	-3.885127337775085010e-01
1.623046875000000097e-02	-3.790430895744449913e-01
1.650097656249999850e-02	-4.050616592288954765e-01
1.677148437499999950e-02	-3.657742677323896352e-01
1.704199218750000050e-02	-3.664021044633695157e-01
1.731250000000000150e-02	-3.682733873725909657e-01
1.758300781249999903e-02	-4.110689372673634878e-01
1.785351562500000003e-02	-3.662714677373914984e-01
1.812402343750000103e-02	-3.769190372185163840e-01
1.839453124999999856e-02	-3.641925860035459817e-01
1.866503906249999956e-02	-3.937870828442719962e-01
1.893554687500000056e-02	-4.003956895032305674e-01
1.920605468750000155e-02	-3.610330886656037963e-01
1.947656249999999908e-02	-3.701264471815473023e-01
1.974707031250000008e-02	-3.832576584480738013e-01
2.001757812500000108e-02	-3.883905615435514491e-01
2.028808593749999861e-02	-3.897966591929890035e-01
2.055859374999999961e-02	-3.750517056891297107e-01
2.082910156250000061e-02	-3.829049205799692768e-01
2.109960937500000161e-02	-3.833817165983797182e-01
2.137011718749999914e-02	-3.270942035549881943e-01
2.164062500000000014e-02	-3.345610463770840592e-01
2.191113281250000114e-02	-3.346510827381063979e-01
2.218164062499999867e-02	-3.387016723149158803e-01
2.245214843749999967e-02	-3.455479849411691173e-01
2.272265625000000067e-02	-3.237401778203858882e-01
2.299316406250000167e-02	-3.385074694052853106e-01
2.326367187499999920e-02	-3.479166277726883916e-01
2.353417968750000019e-02	-3.407077253349872770e-01
2.380468750000000119e-02	-3.255007360957747897e-01
2.407519531249999872e-02	-3.342119168577269983e-01
2.434570312499999972e-02	-3.347705082241616559e-01
2.461621093750000072e-02	-3.618879855480724439e-01
2.488671875000000172e-02	-3.098775276615980401e-01
2.515722656249999925e-02	-3.397929636098691031e-01
2.542773437500000025e-02	-1.335637633055352658e-01
2.569824218750000125e-02	-7.969187724180060162e-02
2.596874999999999878e-02	-1.176850834064390172e-01
2.623925781249999978e-02	-7.212349700963643917e-02
2.650976562500000078e-02	-8.464765929381845577e-02
2.678027343749999831e-02	-8.474769486388139539e-02
2.705078124999999931e-02	-1.059699365967848306e-01
2.732128906250000031e-02	-9.822784498358755334e-02
2.759179687500000130e-02	-9.266100548607741905e-02
2.786230468749999883e-02	-8.841546981915771042e-02
2.813281249999999983e-02	-9.776071613918230208e-02
2.840332031250000083e-02	-6.284474589014266144e-02
2.867382812499999836e-02	-7.623079604740745641e-02
2.894433593749999936e-02	-4.620959864193785460e-02
2.921484375000000036e-02	-8.180709956844084418e-02
2.948535156250000136e-02	-4.316839385464860124e-02
2.975585937499999889e-02	8.205065361511942879e-03
3.002636718749999989e-02	-1.124206389795695538e-02
3.029687500000000089e-02	-2.967081875228760879e-03
3.056738281249999842e-02	-1.348467082839643894e-02
3.083789062499999942e-02	-2.431316230371483034e-02
3.110839843750000042e-02	-7.171691842157246199e-02
3.137890624999999795e-02	-7.936248085714026068e-02
3.164941406249999895e-02	-8.623269268302477530e-02
3.191992187499999994e-02	-5.420001775148669543e-02
