# Amplitude Std_Amplitude
1.66888548 0.78873988
1.79518038 0.85031623
1.95173291 0.90960022
2.18566630 0.97107666
2.31841991 1.05305669
2.56191418 1.10686571
2.91345936 1.12277745
3.15493176 1.17324360
3.35327911 1.26481470
3.52410683 1.33614542
3.92517511 1.38350438
3.72424566 1.66831771
3.88610406 1.77450643
4.03455345 1.87683362
4.24599564 1.90264950
4.49284924 1.93061866
4.67092529 2.00635349
4.84372466 2.07626928
4.86335223 2.42456006
5.01448484 2.53409541
5.17347152 2.64915043
5.57299227 2.77320117
5.46184505 3.01186835
5.63980194 3.12523517
6.34101447 2.50663394
5.95362487 2.80079685
6.14896785 2.87276995
6.66283319 2.76483015
6.86844069 2.80188179
6.71869464 2.94940608
6.89541618 2.96376920
7.00232137 3.04782707
7.07444461 3.17728016
7.01538032 3.43423318
7.13837650 3.52035375
6.70023970 3.99277433
6.82297450 4.09732144
7.22163432 3.85139924
7.34925087 3.93652780
7.47456480 4.01855342
7.99389222 3.97479495
7.74489143 4.16227075
7.91370119 4.29998523
8.07866764 4.35648896
8.24514197 4.41234871
9.05156447 4.03961662
9.22923668 4.08114266
9.39604122 4.11993832
9.56025624 4.15762226
9.73216095 4.19121295
9.90087968 4.22762160
9.89990816 4.25213312
10.05194548 4.29262968
9.96058227 4.59072377
9.83309733 4.66532032
9.98564907 4.69258536
10.12003713 4.71656426
10.27923929 4.71701519
10.39456704 4.73822803
10.49765593 4.75979085
10.59303457 4.78053407
10.69295157 4.79594399
11.25004045 4.58702314
11.33315678 4.61071024
11.41550209 4.63765796
11.49409255 4.66984013
11.57095098 4.70581801
11.65755005 4.74742067
12.43001276 4.39184469
12.52474432 4.43423941
12.61846537 4.47582860
12.70669571 4.51282941
12.79012414 4.55056319
12.86689266 4.58523627
12.94436337 4.61282868
13.01177526 4.65456301
13.08641162 4.68094039
13.15778064 4.71645095
13.23004169 4.75730160
13.30092227 4.80530991
13.37127046 4.86141050
13.43004547 4.91726339
13.47476235 4.97451369
13.52869460 5.03399575
13.57572593 5.09989965
13.61757744 5.16267734
13.65232753 5.22564527
13.67995102 5.28664415
13.04833381 5.58516636
13.08258710 5.64820809
13.11029903 5.70912285
13.10298517 5.77546427
13.11290680 5.84817053
13.12355405 5.91464434
13.16022619 5.97208930
13.19913605 6.02000663
13.22316779 6.06392165
14.19809012 5.42859958
14.20257376 5.48715921
14.21261673 5.54220041
14.21664038 5.59479323
14.21921719 5.64266319
14.21230015 5.68882238
14.20117215 5.73635887
14.18063078 5.78373278
14.15450443 5.82498947
14.12082535 5.86288035
14.08301691 5.89306856
14.04183759 5.91611571
14.00877928 5.93661512
13.97294120 5.95668309
14.73178668 5.66335910
14.69649256 5.69555830
14.65782249 5.73294245
14.61139957 5.77065026
13.21269313 7.02881674
14.53566469 5.85605948
14.50240606 5.90034875
13.15937723 7.05009313
13.13684847 7.05797788
13.67437522 6.84626227
13.66003700 6.85517974
13.63235787 6.87612650
13.62171691 6.89820630
13.60831105 6.92012979
13.59622630 6.93914656
13.58815383 6.95610765
13.58187362 6.97033492
11.92808159 7.72716572
13.57442907 6.99881362
12.92283945 7.30516303
13.56667669 7.01805401
13.08946079 7.31904883
13.57286274 7.03741643
13.59256047 7.04404625
14.87118686 6.11648473
14.90475317 6.12332644
15.17923062 6.09540771
15.21107658 6.11295628
15.24303121 6.13857647
15.27386628 6.16802575
15.30335047 6.20058623
15.32859910 6.22988130
15.35289763 6.25557944
15.37474826 6.27605965
14.11879865 7.24037166
15.42091150 6.30857834
15.44301790 6.32290221
15.45709553 6.33211200
15.00325359 6.48201364
15.00183486 6.48775525
15.00420951 6.49186778
15.00310892 6.49691446
14.99688818 6.50426244
14.98854108 6.51470356
14.98188020 6.52753245
14.97366063 6.54354060
14.96280692 6.56174945
14.07232024 7.10715669
14.05653629 7.12038528
14.04166186 7.13645532
14.02521252 7.15541475
14.00516971 7.18090672
13.98596406 7.20447707
13.96641070 7.23443122
13.94478831 7.27190538
13.92851947 7.30577130
14.07850299 7.29726202
14.89959548 6.85064882
14.89714585 6.90206845
14.74017394 6.97170934
14.73398999 7.03718308
14.72262393 7.10706688
14.70556123 7.17997719
14.68292807 7.25145479
14.67387619 7.31603707
14.66890668 7.37271875
14.66612379 7.42341388
14.65121596 7.46534802
14.62764540 7.50314227
14.59997661 7.54034085
14.56491539 7.58002442
14.52504193 7.61539760
14.48174315 7.65057791
14.44166776 7.68536279
14.40267988 7.71788700
14.35628914 7.75204480
14.31110903 7.78415345
14.26655720 7.81160030
14.22289719 7.83496278
14.18123857 7.85731045
14.14356587 7.87933893
14.10762233 7.90722699
14.22984331 7.98795254
14.19454326 8.02989537
14.16780519 8.07693589
14.14543907 8.12887146
14.12871067 8.17905319
14.11322358 8.22880634
14.12944785 8.24875712
14.15232291 8.26526222
13.86870773 8.02399320
13.90982486 8.02915981
13.95180959 8.03032948
13.99811254 8.03153264
13.13775196 8.91541846
13.19611755 8.91367315
13.25423682 8.91172830
13.31638169 8.91142177
13.37367854 8.91819005
12.44330566 8.63227126
12.48996007 8.64463453
12.54872407 8.65247657
11.43712222 9.36771284
12.19259982 8.78615307
12.74179287 8.87452399
12.80848919 8.87838462
12.87333004 8.88240879
12.94693097 8.88333595
13.01505999 8.88799464
13.08752438 8.88357458
13.15039192 8.88555295
13.20715640 8.89149860
13.25920563 8.90360131
13.32650377 8.90349324
13.39217376 8.90911253
13.46140418 8.91313705
14.35128876 8.61173554
14.42520379 8.61264817
14.49973096 8.61639947
14.57410700 8.61878981
14.64144718 8.62309881
14.71017538 8.62326228
14.76625157 8.62820818
14.82546489 8.62764940
14.88117748 8.62697172
14.93173214 8.62055838
14.97246316 8.61096067
15.00483931 8.59883467
15.02391684 8.59311888
15.03926614 8.58837053
15.05097746 8.58424684
15.04292955 8.59710865
14.40357994 8.76847686
14.38905420 8.79442787
14.39332736 8.80398583
14.64494231 8.59693970
14.64781790 8.61768304
14.66897105 8.63021645
14.69301913 8.64495500
14.72076113 8.65092546
14.73213646 8.66704517
14.75266880 8.66587576
14.75891241 8.67850762
14.76584282 8.69508618
14.78089255 8.71222070
14.79367389 8.73150114
16.01834664 8.66174616
16.02830935 8.68112052
16.04279049 8.68950016
16.05668688 8.69638979
16.06714547 8.69923130
16.07514048 8.69350636
15.99033052 8.75928809
15.96951854 8.76682316
15.94401416 8.77413301
15.92192363 8.77486427
15.89869461 8.77922375
15.88926958 8.76932333
15.87598352 8.76819280
15.87742841 8.74872554
15.86817830 8.73334024
15.86141128 8.70897435
14.39645984 9.64422239
14.39484801 9.62710813
14.40695899 9.60674417
14.42229350 9.59570340
14.44717916 9.58255215
14.48590484 9.56541167
14.52479712 9.55337531
14.56455359 9.54397749
14.60347761 9.53810594
14.64349686 9.53340285
14.70141820 9.52031827
14.74470805 9.52221438
14.78952733 9.52729975
14.83997510 9.53209640
14.89107200 9.54549625
14.93615286 9.57016380
16.53314265 8.42870177
16.59865044 8.43535214
16.64320737 8.46960707
16.70846691 8.48107512
16.76610985 8.49787915
16.82286503 8.51893630
16.86780639 8.54398685
16.91774093 8.55751526
16.95810183 8.58792103
18.30065182 7.87078277
17.05008918 8.60850830
